Date,Time (12-hr format),Rain Readings 1 (%),UV 1 (mW/cm²),Lux 1 (lux),DHT Temperature 1 (°C),DHT Humidity 1 (%),Panel Temperature 1 (°C),Panel Voltage 1 (V),Panel Current 1 (mA),Irradiance 1 (W/m²),Battery Voltage 1 (V),Rain Readings 2 (%),UV 2 (mW/cm²),Lux 2 (lux),DHT Temperature 2 (°C),DHT Humidity 2 (%),Panel Temperature 2 (°C),Panel Voltage 2 (V),Panel Current 2 (mA),Irradiance 2 (W/m²),Battery Voltage 2 (V)
3/14/25,10:05:21 AM,2.6969696969697026,1.7154696132596694,18019.2768,27.100000381469727,99.90000153,31.1875,14.06625,2703.5,,12.808125,2.2575757575757507,0.901243094,10628.889599999999,30.399999618530273,99.90000153,29.3125,13.27875,1727.5,,14.108125000000001
3/14/25,10:05:23 AM,2.912878787878782,1.708218232,18008.5248,31.799999237060547,99.90000153,31.1875,14.7225,2703.0000000000005,574,12.7925,2.386363636363626,0.8939917127071819,10648.243199999999,30.399999618530273,99.90000153,29.3125,13.27875,1728,416,14.0975
3/14/25,10:05:36 AM,2.837121212121204,1.7102900552486187,17971.967999999997,31.799999237060547,99.90000153,31.25,14.71375,2708.5000000000005,574,12.76375,2.473484848484844,0.9033149171270718,10683.7248,30.399999618530273,99.90000153,29.3125,13.22375,1739.0000000000002,,13.736875
3/14/25,10:05:41 AM,2.9356060606060623,1.708218232,17991.3216,,,31.25,14.725,2715.5,575,12.7525,2.3219696969696884,0.898135359,10669.7472,30.399999618530273,99.90000153,29.3125,13.21375,1739.5,421,14.10375
3/14/25,10:05:43 AM,2.3257575757575637,1.7154696132596694,18016.588799999998,31.799999237060547,99.90000153,31.25,14.72125,2722,,12.746250000000002,2.829545454545439,0.9053867403314924,10761.1392,30.399999618530273,99.90000153,29.25,13.21125,1742,422,14.095625
3/14/25,10:05:53 AM,2.7651515151515014,1.7258287292817684,18065.5104,31.799999237060547,99.90000153,31.3125,14.72375,2740.5,579,12.742500000000001,2.3939393939393767,0.916781768,10786.4064,30.399999618530273,99.90000153,29.3125,13.21125,1749.5,424,14.063749999999999
3/14/25,10:05:55 AM,2.9204545454545325,1.7247928176795593,18076.8,31.799999237060547,99.90000153,31.3125,14.6975,2741,,12.741249999999999,2.6212121212121104,0.919889503,10803.072,30.399999618530273,99.90000153,29.3125,13.21125,1750.5,425,13.104375
3/14/25,10:06:10 AM,2.8143939393939377,1.7279005524861892,18087.0144,31.799999237060547,99.90000153,31.375,14.745,2751.5,,12.735624999999999,2.537878787878782,0.9209254143646421,10885.8624,30.5,99.90000153,29.375,13.2025,1758,,14.11875
3/14/25,10:06:10 AM,2.537878787878782,1.7258287292817684,18099.9168,31.799999237060547,99.90000153,31.375,14.305,2749,581,12.735624999999999,2.7083333333333286,0.9157458563535916,10865.433599999998,30.5,99.90000153,29.375,13.20625,1756.5,,14.11875
3/14/25,10:06:19 AM,2.837121212121204,1.7289364640883984,18165.503999999997,31.899999618530273,99.90000153,31.4375,14.7525,2788.0000000000005,,12.739374999999999,2.643939393939391,0.9157458563535916,10957.3632,30.5,99.90000153,29.375,13.2025,1769.5000000000002,,14.11125
3/14/25,10:06:24 AM,2.837121212121204,1.7289364640883984,18165.503999999997,31.899999618530273,99.90000153,31.4375,14.76625,2780.5,586,12.745,2.643939393939391,0.9157458563535916,10957.3632,30.5,99.90000153,29.375,13.205,1767.5000000000002,431,14.1675
3/14/25,10:06:26 AM,2.575757575757578,1.7662292817679561,18388.608,31.899999618530273,99.90000153,31.5,14.79875,2830.5000000000005,,12.74,2.7613636363636402,0.9312845303867414,11033.7024,30.600000381469727,99.90000153,29.375,13.21125,1781.0000000000002,433,14.155625
3/14/25,10:06:31 AM,2.662878787878782,1.7973066298342537,18585.907199999998,31.899999618530273,99.90000153,31.4375,14.76625,2829,596,12.744375000000002,2.8598484848484844,0.9416436464088406,11084.236799999999,30.600000381469727,99.90000153,29.375,13.20375,1783.0000000000002,,14.165624999999999
3/14/25,10:06:36 AM,2.8409090909090793,1.7848756906077359,18561.1776,32,99.90000153,31.5,14.79875,2840.0000000000005,,12.741875,2.7954545454545467,0.9416436464088406,11096.6016,30.600000381469727,99.90000153,29.4375,13.20875,1787,435,14.044375
3/14/25,10:06:38 AM,2.7462121212121104,1.7983425414364649,18604.185599999997,32,99.90000153,31.5625,14.7625,2856.0000000000005,,12.738125,2.6893939393939235,0.9447513812154705,11129.395199999999,30.600000381469727,99.90000153,29.4375,13.20875,1792,436,14.174375000000001
3/14/25,10:06:49 AM,2.6818181818181728,1.808701657458564,18660.633599999997,32,99.90000153,31.625,14.66,2852.5,,12.73625,2.4280303030302974,0.9509668508287304,11160.576,30.600000381469727,99.90000153,29.5,13.21,1803,,14.035
3/14/25,10:06:54 AM,2.7613636363636402,1.8004143646408837,18566.016,32,99.90000153,31.6875,14.7875,2826,,12.741249999999999,2.5530303030302974,0.9509668508287304,11222.4,30.600000381469727,99.90000153,29.5,13.215,1803,,14.151875
3/14/25,10:06:55 AM,2.6136363636363455,1.8097375690607735,18698.2656,32,99.90000153,31.625,14.75875,2866,605,12.740625000000001,2.6969696969697026,0.9540745856353585,11160.576,,,29.4375,13.21125,1804.5,438,14.145000000000001
3/14/25,10:07:08 AM,2.7954545454545467,1.7848756906077359,18464.9472,32,99.90000153,31.75,14.74375,2775.5,587,12.736875000000001,2.5075757575757507,0.9540745856353585,11227.776,,,29.5,13.20875,1798.5,,14.088125
3/14/25,10:07:08 AM,2.5909090909090793,1.7807320441988945,18436.992,32,99.90000153,31.75,14.73625,2768.0000000000005,,12.736875000000001,2.5075757575757507,0.9509668508287304,11225.6256,,,29.5,13.20875,1797.5000000000002,,14.088125
3/14/25,10:07:15 AM,2.7386363636363598,1.7247928176795593,18044.0064,32.099998474121094,99.90000153,31.75,14.7075,2736,,12.733749999999999,2.655303030303017,0.9488950276243099,11222.4,30.700000762939453,99.90000153,29.5625,13.205,1794,,14.075625
3/14/25,10:07:20 AM,2.7386363636363598,1.7247928176795593,18044.0064,32.099998474121094,99.90000153,31.8125,14.585,2740.5,581,12.738750000000001,2.655303030303017,0.9488950276243099,11222.4,30.700000762939453,99.90000153,29.5,13.20625,1794.5,438,14.088125
3/14/25,10:07:22 AM,2.7007575757575637,1.7165055248618786,17848.8576,32.099998474121094,99.90000153,31.8125,14.4125,2724,,12.731250000000001,2.712121212121204,0.9520027624309398,11264.3328,30.700000762939453,99.90000153,29.5625,13.20875,1793.5000000000002,438,14.075625
3/14/25,10:07:29 AM,2.6893939393939235,1.7092541436464095,17778.9696,32.099998474121094,99.90000153,31.875,14.69375,2711.0000000000005,,12.735624999999999,2.7727272727272663,0.9561464088397792,11365.4016,30.799999237060547,99.90000153,29.5625,13.2,1795,,14.063749999999999
3/14/25,10:07:29 AM,2.742424242424235,1.7061464088397795,17794.022399999998,32.099998474121094,99.90000153,31.8125,14.6925,2714.5,576,12.735624999999999,2.4583333333333144,0.9488950276243099,11318.6304,30.700000762939453,99.90000153,29.5625,13.20125,1794.5,438,14.063749999999999
3/14/25,10:07:35 AM,2.856060606060595,1.6968232044198897,17706.9312,32.099998474121094,99.90000153,31.875,14.61875,2705,573,12.731250000000001,3.041666666666657,0.9499309392265193,11371.3152,30.799999237060547,99.90000153,29.5625,13.20625,1796.5,,13.671875
3/14/25,10:07:40 AM,2.856060606060595,1.6968232044198897,17706.9312,32.099998474121094,99.90000153,31.875,14.6925,2703.5,,12.726875,3.041666666666657,0.9499309392265193,11371.3152,30.799999237060547,99.90000153,29.625,13.1975,1797,439,14.058125
3/14/25,10:07:42 AM,2.8636363636363455,1.6906077348066297,17705.3184,32.20000076293945,99.90000153,31.9375,14.68375,2702.5,,12.73625,2.4772727272727195,0.9644337016574597,11381.5296,30.799999237060547,99.90000153,29.625,13.20375,1797.5000000000002,440,14.056250000000002
3/14/25,10:07:47 AM,2.734848485,1.6916436464088407,17685.4272,32.20000076293945,99.90000153,31.9375,14.5375,2701,570,12.733749999999999,2.511363636363626,0.959254144,11387.9808,30.799999237060547,99.90000153,29.625,13.2025,1798.5,,14.064375
3/14/25,10:07:52 AM,2.712121212121204,1.6833563535911604,17669.836799999997,32.20000076293945,99.90000153,31.9375,14.67875,2701,,12.730625,2.3939393939393767,0.9633977900552484,11394.969599999999,30.799999237060547,99.90000153,29.625,13.2025,1800,440,14.040625
3/14/25,10:07:54 AM,2.4772727272727195,1.6895718232044203,17666.0736,32.20000076293945,99.90000153,31.9375,14.6625,2702,,12.7325,2.575757575757578,0.9561464088397792,11410.56,30.799999237060547,99.90000153,29.625,13.20625,1801,441,13.941875000000001
3/14/25,10:08:00 AM,2.7575757575757507,1.6854281767955808,17675.750399999997,32.20000076293945,99.90000153,32,14.685,2707.0000000000005,,12.727500000000001,2.7083333333333286,0.965469613,11400.883199999998,30.899999618530273,99.90000153,29.6875,13.20125,1804.5,,14.065000000000001
3/14/25,10:08:00 AM,2.7613636363636402,1.6874999999999998,17660.16,32.20000076293945,99.90000153,32,14.68875,2705.5000000000005,569,12.727500000000001,2.5454545454545325,0.9633977900552484,11409.4848,30.899999618530273,99.90000153,29.6875,13.2025,1803.5000000000002,,14.065000000000001
3/14/25,10:08:08 AM,2.954545454545439,1.6750690607734817,17734.3488,32.20000076293945,99.90000153,32.0625,14.6275,2711.0000000000005,569,12.731874999999999,2.9280303030303116,0.9665055248618784,11419.1616,30.899999618530273,99.90000153,29.6875,13.205,1807.5000000000002,442,14.068125
3/14/25,10:08:10 AM,2.954545454545439,1.6750690607734817,17734.3488,32.20000076293945,99.90000153,32.0625,14.04125,2710,,12.728125000000002,2.9280303030303116,0.9665055248618784,11419.1616,30.899999618530273,99.90000153,29.6875,13.20625,1809,442,14.066875000000001
3/14/25,10:08:15 AM,2.848484848484844,1.6792127071823209,17738.6496,32.20000076293945,99.90000153,32.125,14.68,2706,568,12.725625,2.473484848484844,0.9685773480662989,11448.729599999999,30.899999618530273,99.90000153,29.75,13.2025,1810.5,,14.031875
3/14/25,10:08:17 AM,2.666666666666657,1.6781767955801117,17723.5968,32.29999923706055,99.90000153,32.125,14.66,2704.5000000000005,567,12.735624999999999,2.7727272727272663,0.9685773480662989,11441.7408,30.899999618530273,99.90000153,29.75,13.20125,1811,443,13.9825